,beer_kor_name,beer_eng_name,class,country,description
22,버드와이저 셀렉트,Budweiser Select,Pale Lager - American,🇺🇸 ,"American-style lager that is long brewed for a crisp taste that finishes clean.  It contains only 99 calories, 3.1 grams of carbohydrates and 4.3 percent alcohol by volume per 12 oz. serving."
23,부드바이저 부드바,Budweiser Budvar,Pilsener - Bohemian / Czech,🇨🇿 ,"Can, bottle, keg: Filtered
B:Original / Original Czech Lager

Sold as Czechvar in most of the Americas (due to a trademark dispute with Anheuser-Busch), and as Budweiser Budvar in the rest of the world. Has adopted the subtitles ""B: Original"", ""Original Czech Lager"" or just ""Original"", depending on market, to emphasis that the company was the first to use the Budweiser name. 

Brewed using whole-cone, Saaz hops from Žatec, pristine water from an Ice Age aquifer, Moravian malting barley and our heritage lager yeast, this classic rich and full-flavoured lager sets the gold standard for Czech brewing across the world. The tradition of cold-conditioning in our brewery cellars for seven times longer than most other beers creates a pale lager with a sweet, deep golden body and an aromatic, hoppy foam. Bold in taste, yet refreshing and perfectly balanced."
24,부드바이저 부드바 흑맥주,Budweiser Budvar Dark,Dark Lager - Dunkel / Tmavý,🇨🇿 ,"Bottle: Filtered 
Tmavý Ležák 

Budweiser Budvar Dark is a retro-beer. This is because it has been designed to come as close as possible to how all Bohemian and Bavarian lagers tasted before bottom fermented golden lager stole the show in the mid nineteenth century. Now, thanks to Budweiser Budvar, the Darkside is moving centre stage again.

Enjoying the same brewing cycle as Original, Dark gets its delicious roasted flavour from being brewed from three types of malt; Munich, Caramel and Roasted."
25,비너스,Cyprus Venus,Weissbier - Hefeweizen,🇨🇾 ,
26,데스페라도스,Desperados,Flavored - Other,🇫🇷 ,"Richness of a universe, power of a name, refreshing tasting, Desperados is a generous beer with the typified taste.


Beer with tequila barrel aged lager and natural flavor."
27,데스페라도스 레드,Desperados Red,Flavored - Other,🇫🇷 ,"Beer aromatized with tequila, cachaça and guarana."
28,드라이 D,Hite D (Dry Finish),Pale Lager - International / Premium,🇰🇷 ,Refresh your spirits.  Break away from the daily grind.  Hite D is brewed with our exclusive Dry Finish process using the select dry yeast.
29,라구니타스 IPA,Lagunitas India Pale Ale (IPA),IPA,🇺🇸 ,"This is our unique version of an ancient style. A style as old as the ocean trade routes of the last centuries Great Ships. Not as old as the equator they had to cross twice enroute, nor as old as the 10,000 or so miles of Di-Hydrogen Oxide and Sodium upon which they sailed, but older than the Circulithium-4 Lentloid that binds the Lupulin Quartnate onto your taste buds. Weird. Think about it. Now stop. OK, go again, now stop. Think again, and stop. But we digress. Made with 43 different hops and 65 various malts, this redolent ale will likely float your boat, whatever planet you’re on."
30,라구니타스 데이타임,Lagunitas DayTime,ISA - Session IPA,🇺🇸 ,"A Fractional IPA

At 4% ABV and only 98 calories, DayTime IPA represents everything we know about making hop-forward beer, expressed in a sotto voice.

The beer in this can has achieved what we all hope for ourselves; to be made new again. There is freedom in burning down the house of expectations and it confers an undeniable lightness to being. We didn't invent these truths; they invented us."
31,라구니타스 막시무스,Lagunitas Maximus IPA,IIPA DIPA - Imperial / Double IPA,🇺🇸 ,"At the height of the heat in the heart of the summer, we felt that the only cure was a raging mouthful of fresh hops and malt. Caution: May remove enamel from teeth.  This is Lagunitas IPA pumped up by about 30%!
IBU: 72.41"
32,라오산 4.0,Tsingtao Laoshan 4.0% 10°P,Pale Lager - International / Premium,🇨🇳 ,"Ingredients: water, barley malt, rice, syrup, hops.



NOTE: Under this entry, rate ONLY Laoshan with 4%ABV here. If it differs in any way and doesn’t match the other entries under the brewer, please send in a bug report with the alcohol percentage, degrees plato (important!), the GTIN and preferably a link to a picture of both the front and the back label so that we can set up an entry."
33,라오산 4.7,Tsingtao Laoshan 4.7% 11°P,Pale Lager - International / Premium,🇨🇳 ,"Lao Shan Premium Beer embodies the passion and traditional craftsmanship of Tsingtao Brewery. Lao Shan Premium Beer pours a pleasant and crispy malty flavour.



Ingredients: water, barley malt, rice, hops."
34,레페 브라운,Leffe Brune,Belgian Ale - Dark / Amber,🇧🇪 ,"Bottle: Filtered

A traditional Belgian abbey beer with a deep brown colour and a full, sweet and fruity aroma.

Ingredients: Dark and torrefied malt, corn, water, hops and yeast."
35,망고 링고,Mango Lingo,Radler / Shandy,🇰🇷 ,Hite Mango Lingo is a mango-flavored fruit mix beer. It contains natural mango extracts which bring out lightness and fruitiness that you can enjoy.
36,맥스,Hite Prime Max,Pale Lager - International / Premium,🇰🇷 ,"100% all malt beer including the finest malt, selected Cascade aroma hop and soft creamy foam by our exclusive process."
37,매그너스 쥬시 애플,Magners Juicy Apple,Apple Cider,🇮🇪 ,"Magners Juicy Apple is a premium Irish Cider crafted from the finest blend of juicy apples, picked from our orchards in Clonmel, Tipperary. A slightly sweeter apple cider for new entrants or consumers who prefer sweeter apple ciders."
38,밀러 드래프트,Miller Genuine Draft (MGD),Pale Lager - American,🇺🇸 ,"Representing a true innovation in American brewing, MGD's patented cold-filtered process fashions the smooth drinkability of draft beer available in bottles and cans."
39,밀러 라이트,Miller Lite,Pale Lager - American,🇺🇸 ,"This carefully crafted pilsner uses the finest ingredients and brewing techniques to ensure rich, full-bodied beer taste at only 96 calories."
40,밀러 칠 체라다 스타일,Miller Chill Chelada Style,Flavored - Fruit,🇺🇸 ,"Miller Chill, light beer with natural flavors.  Chelada style.  Inspired by a Mexican Recipe with lime and salt."
41,밀러 하이 라이프,Miller High Life,Pale Lager - American,🇺🇸 ,"Miller High Life, the ""champagne of beers,"" dates to 1903. Miller High Life is a classic American-style lager recognized for its consistently crisp, smooth taste and iconic clear-glass bottle. Miller High Life embraces its rich heritage and is known by its drinkers as an authentic, unpretentious beer. As the best beer value in America, we encourage beer drinkers to ""Take Back the High Life."""
42,산미구엘페일필젠,San Miguel Pale Pilsen,Pale Lager - International / Premium,🇵🇭 ,"Also known as San Miguel Beer and San Miguel Draft.

Imported to the US as San Miguel Premium Lager until some time between 2006 &amp; 2008.

San Miguel Pale Pilsen, a pilsner popularly called San Miguel Beer, is the Company’s flagship brand and the Philippines’ leading brew. It is one of the world’s largest selling beers.   Made from imported barley malt, as well as German and American hops, it is exported to over 40 countries worldwide."
43,삿포로,Sapporo Draft Beer,Pale Lager - International / Premium,🇯🇵 ,"This perfect balance between malt &amp; hops gives you a great drinking experience from the very first sip to the last.

Ingredients: water, barley malt, rice, corn, starch, hops."
44,삿포로 리저브,Sapporo Reserve,Pale Lager - International / Premium,🇯🇵 ,"Sapporo Reserve is a super premium lager brewed almost twice as long as other competing brands. Reserve is brewed with only finest European barley, and the most select European hops."
45,삿포로 프리미엄,Sapporo premium lager,Pale Lager - International / Premium,🇯🇵 ,
46,산토리,Suntory The Premium Malt's,Pale Lager - International / Premium,🇯🇵 ,"The Premium Malt’s features a delicate floral aroma and a rich, quality taste. The Premium Malt’s is made from carefully selected pure ingredients using original brewing methods, in pursuit of the perfect premium beer."
47,산토리카오루에일,Suntory The Premium Malt's Kaoru Ale,Blonde Ale / Golden Ale,🇯🇵 ,"A premium ale beer with a fruity taste. Top fermented.


Ingredients: water, barley malt (Diamond malt), hops."
48,슈파텐 뮌헨,Spaten Münchner München,Helles / Dortmunder Export,🇩🇪 ,"Bottle: Filtered.

Ingredients: Water, Barley Malt, Hops &amp; Hop extract.

Sold as Münchner Hell in Germany, München in the UK and Premium in North America.

This beer is our speciality. In 1894 Spaten became the first brewery in Munich to produce this brand of light lager.  Golden in color with a well-balanced hop-flavor. The full rounded body is a superb balance between hops and a malty sweetness. 


11.7 Plato"
49,슈파텐 옥토버페스트,Spaten Oktoberfest Ur-Märzen,Märzen / Oktoberfest Bier,🇩🇪 ,Amber in color. This medium bodied beer has achieved its impeccable taste by balancing the roasted malt flavor with the perfect amount of hops. Having a rich textured palate with an underlying sweetness true to tradition.
50,슈파텐 옵티메이터,Spaten Optimator,Bock - Doppelbock,🇩🇪 ,"Bottle: Filtered 
The classic German dark beer, bottom fermented ’Doppel Bock’. Full bodied with a deep dark color and rich roasted malt flavor."
51,스텔라 아르투아,Stella Artois,Pale Lager - International / Premium,🇧🇪 ,"Stella Artois is one of the world’s best-selling beers and is enjoyed in more than 80 countries. Its full, characteristic flavour and high quality is assured through a superior brewing process and by using the finest ingredients available.

The UK version is brewed, filtered and kegged at Samlesbury. Batches are sent to Magor for pasteurising before being canned or bottled."
52,싱하,Singha Draft,Pale Lager - International / Premium,🇹🇭 ,"Note: This may be Singha under a different name, and may be merged when research has been completed.

Capturing the fresh taste of draft beer in a can, Singha Draft utilizes special filtration and sterilization processes to ensure quality and continuous freshness."
53,써머스비 애플,Somersby Apple Cider,Apple Cider,🇩🇰 ,"Now contains 51% cider. Danish: I England har man brygget æblecider i umindelige tider. Og den stolte tradition er udgangspunktet for udviklingen af Somersby Apple Cider. Dog har vi tilpasset vores cider til den danske smag.


I aromaen oplever du en duft af dejlige solmodne sommeræbler, og smagen afsluttes med en behagelig syre. Farven er gylden og med perlende bobler."
54,바르슈타이너,Warsteiner Premium Verum,Pilsener / Pils / Pilsner,🇩🇪 ,Classic German Pilsener
55,바르슈타이너 던켈,Warsteiner Premium Dunkel,Dark Lager - Dunkel / Tmavý,🇩🇪 ,A light bodied clean dark lager.
56,벡스,Beck's,Pale Lager - International / Premium,🇩🇪 ,"Our original Beck’s is a classic German lager beer with a distinctive full-bodied taste, fresh ""hoppy"" bouquet, golden color and full rich head. Adding to its complexity is a slightly fruity but firm crispness and a dry, clean finish."
57,벡스 흑맥주,Beck's Dark,Dark Lager - Dunkel / Tmavý,🇺🇸 ,"Beck’s Dark is rich and smooth with a lingering, slightly sweet aftertaste. The deep ebony color is the result of specially roasting the barley malt. Unlike dark ales, Beck’s Dark is a bottom-fermented lager which creates a robust flavor and full body while retaining the refreshing properties of a lager beer."
58,브루독 펑크 AF,BrewDog Punk AF,Low / No Alcohol Beer - Pale,🇬🇧 ,"No alcohol just got Punked up. And Punk AF lives up to its billing. All the attitude, all the flavour but none of the alcohol. Say hello to the Punkest alcohol free beer in town. Juicy tropical fruit mixes it up with grassy and pine notes. All sitting on a solid malt bassline. Full flavour, no alcohol, all Punk."
59,브루독 펑크 IPA,BrewDog Punk IPA (5.6%),IPA,🇬🇧 ,"Bottle, keg and can: Filtered

Ingredients: Extra Pale Malt; Chinook, Ahtanum, Amarillo, Cascade, Simcoe, Nelson Sauvin hops. IBUs 45

This fresh, full flavour natural beer is our tribute to the classic IPAs of yester-year. The post modern twist is the addition of amazing fruity hops giving an explosion of tropical fruit flavours and a sharp bitter finish."
60,블루문,Blue Moon Belgian White,Witbier / Belgian White Ale,🇺🇸 ,"""Belgian White Ale"" (North America) / ""North American Craft Beer"" (UK)

Brewed with oats for creaminess and spiced with the perfect combination of orange peel and coriander.

An unfiltered wheat ale spiced in the Belgian tradition for an uncommonly smooth taste.

Gold medalist (white beer) at 1995 World Beer Championships, silver medalist (white beer) at 1996 and 1997 World Beer Championships. 171 calories per 12-ounce serving and 5.4% abv.
 Editor’s Note:  Much of this beer’s production now comes from the Molson brewery in Toronto.  A small portion of Denver draught production comes from the SandLot brewery.  Still other product may continue to hail from Golden.  7/19/08."
61,아사히 슈퍼 드라이,Asahi Super Dry,Pale Lager - International / Premium,🇯🇵 ,"Pasteurised bottle.


Asahi Super Dry was a direct result of extensive market research which indicated a consumer preference for a more palatable beer with less maltiness, relatively high alcohol content and a light aftertaste, that paired well with the changing Japanese diet. With this insight Asahi used its brewing knowledge to develop a beer with a crisp bite, refreshing taste and clear finish to satisfied this requirement. Code named project FX, Asahi engineered a highly attenuated, highly carbonated pilsner. The later renamed product, Super Dry began sales on March 17th 1987 and gave birth to the dry beer category. The market success spawned similar competitor products and initiated what was known as the “Dry Wars” in Japan and a brief marketing fad for dry beers internationally. However Asahi has stood the test of time and now years later Super Dry continues it legacy as the world’s premier dry beer. 

Special Yeast - Asahi # 318 is the proprietary ingredient used to give Super Dry its “dryness”. This special strand of yeast produces high attenuation during fermentation in conjunction with the choice grains.

Finest Ingredients – Asahi uses select grains and hops sourced worldwide based on strict criteria to maintain flavor consistency and promote sustainability. Barely with high starch content and both noble style bitter and fine aroma hops are key contributors to Super Dry’s smooth taste. 

ABV 4.9-5% (Depends on package type and location)
IBU 20
SRM 4"
62,아사히 드라이 블랙,Asahi Super Dry Black,Dark Lager - International / Premium,🇯🇵 ,
63,아사히 프라임 리치,Asahi Clear Prime Rich,Pale Lager - International / Premium,🇯🇵 ,"The highest quality in clear, rich taste. Brewed from quality ingredients by using our pure cultured yeast and our advanced brewing technologies.

Ingredients: barley malt, hops, barley, corn, starch."
64,애플 폭스,Apple Fox,Apple Cider,🇲🇾 ,"Tempted by the juiciest apples it’s ever seen, the Fox picked them from the best orchards. Crafted by New Zealand’s cider makers, this cider truly rules them all with a crisp, refreshing taste. So go on and add a little magic to your journeys."
65,에델바이스 스노우프레쉬,Edelweiss Weissbier Snowfresh,Weissbier - Hefeweizen,🇦🇹 ,"Aromatic taste of alpine herbs.
12.3°"
66,에딩거 바이스비어,Erdinger Weissbier,Weissbier - Hefeweizen,🇩🇪 ,"Bottle: Unfiltered; Keg: Filtered 

The strength of this classic wheat beer lies in the harmonious balance it achieves between the various aromas. Gently spicy wheat and yeast aromas blend with mildly bitter hops. The invigorating carbon dioxide ensures its typical liveliness. A premium beer whose full-bodied yet elegant character leaves a lasting impression of ultimate Bavarian enjoyment. A truly unique wheat beer!

Erdinger Weißbräu allows its top-fermenting specialty to mature in the bottle in the traditional manner, just like champagne. This wheat beer from Erding offers more than just sparkling refreshment – it gives a true taste of Bavaria."
67,예비스,Sapporo Yebisu,Pale Lager - International / Premium,🇯🇵 ,Yebisu beer is a rich and mellow premium beer brewed from 100% fine malt and select hops with Sapporo’s traditional art.
68,이슬 톡톡,Isul Tok Tok,Radler / Shandy,🇰🇷 ,Can: Filtered
69,스타우트,Hite Black Beer Stout,Schwarzbier / Black Lager,🇰🇷 ,Lager type black beer from German dark roasted malt.
70,예거 라들러 레몬,Egger Naturtrüber Zitronenradler,Radler / Shandy,🇦🇹 ,"Editor’s note: Naturtrüb (unfiltered) and different from the ordinary Egger Radler.
Sold as Egger Lemon Radler in Netto, Denmark."
71,예거 라들러 자몽,Egger Grapefruit Radler,Radler / Shandy,🇦🇹 ,"Nicht nur an heißen Tagen erfrischt der Egger Grapefruit-Radler mit seinen 2,5 % Vol. Alk. und 5% Saftanteil all jene, die bestes Bier mit einem Schuss Grapefruit suchen."
72,제주 백록담,Jeju Baengnokdam Ale,Witbier / Belgian White Ale,🇰🇷 ,"Baengnokdam is a white ale brewed with the clearest water of Jeju Island. Featuring Jeju's yeast and orange, it gives out a light and citrus flavor.

Ingredients: water, barley malt, wheat malt, orange zest, coriander seeds, Hanrabong (Jeju mandarin orange), hops, yeast."
73,제주 성산일출봉,Jeju Seongsan Ilchulbong Ale,Blonde Ale / Golden Ale,🇰🇷 ,"This is a Golden Ale that portrays the golden ray of Seongsan Ilchulbong (Sunrise Peak) tuff cone on Jeju Island, Korea.

Brewed entirely with Jeju's clear water, barley and hops, this premium beer is loved by everyone due to its fresh and rich taste."
74,제주 위트 에일,Jeju Wit Ale,Witbier / Belgian White Ale,🇰🇷 ,In partnership with Brooklyn Brewery.
75,제주 펠롱 에일,Jeju Pellong Ale,Pale Ale,🇰🇷 ,
76,카스 라이트,Cass Light,Pale Lager - American,🇰🇷 ,
77,카스 프레쉬,Cass Fresh,Pale Lager - International / Premium,🇰🇷 ,"Cass was launched in 1994 and is brewed for mainstream beer drinkers looking for differentiated beer taste. Cass is a most distinguished lager beer. Cass offers refreshment and vitality for young, vivid, active, modern and rebellious consumers, with emphasis on freshness (100% non-pasteurized brewing process) and fizzy, crisp, and sparkling taste."
78,칼스버그,Carlsberg Pilsner,Pilsener / Pils / Pilsner,🇩🇰 ,"Danish: Carlsberg er egentlig blevet en del af den danske kulturarv og den danske tørst.


Du oplever en harmonisk balance mellem bitterhed og sødmefulde æbler, mens du nyder den lyse gyldne farve med det flotte skum og duften af fyrretræ, strå, hasselnød og skovsyre. Ja, det er næsten som en forårsdag i Danmark. Og sådan klæder Carlsberg også det danske køkken hele vejen rundt.

Previously sold in the UK in gold coloured labels/cans as Carlsberg Export. The current UK Carlsberg Export is the same as the standard Carlsberg Export."
79,코로나,Corona Extra,Pale Lager - American,🇲🇽 ,"Corona Extra is the number-one selling beer in Mexico and the leading export brand from Mexico. This pilsener type beer was first brewed in 1925 by Cervecería Modelo, located in Mexico City."
80,코로나 라이트,Corona Light,Pale Lager - American,🇲🇽 ,"99 Calories:
Corona Light has approximately 30% less calories than Corona Extra with the same refreshing taste, and is also brewed with the highest quality ingredients."
81,코젤 다크,Kozel Černý (Dark) 10°,Dark Lager - Dunkel / Tmavý,🇨🇿 ,Tmavé výčepní pivo vyráběné z pečlivě vybrané směsi čtyř druhů sladů.
82,코젤 라거,Kozel Premium Lager 12°,Pilsener - Bohemian / Czech,🇨🇿 ,"Has a smoothly bitter taste, a soft  malt and hops scent and sparkles perfectly. This highly malted beer is considered to be an excellent lager both at home and abroad
This beer is also brewed at ""Plzensky Prazdroj (SABMiller)"" in Plzen, Czech Republic."
83,퀸즈 에일 블론드,Queen's Ale Blonde Type,Pale Ale - English,🇰🇷 ,"Fruity, floral and citrus-like hoppy flavor with well-balanced hop bitterness made by triple hopping process."
84,퀸즈 에일 엑스트라 비터,Queen's Ale Extra Bitter Type,Bitter - Premium / Strong / Extra Special (ESB),🇰🇷 ,Ale with more intense and profound taste.
85,클라우드,Kloud Original Gravity,Pale Lager - International / Premium,🇰🇷 ,"100% Malt Real Beer. Original Gravity. Rich &amp; Smooth. 
Kloud is a premium beer that uses European hops and yeast from Germany."
86,타이거,Tiger Beer,Pale Lager - International / Premium,🇸🇬 ,"Born and launched in Singapore in 1932, Tiger Beer is enjoyed in more than 50 countries across Asia, Europe, US, Latin America, Australia and the Middle East. As one of the leading contemporary beer brands in the world, Tiger Beer goes through a strict brewing process which takes over 500 hours and uses only the finest quality ingredients from Australia and Europe. The beer has also won more than 40 international accolades and awards."
87,타이거 라들러 레몬,Tiger Radler Lemon,Radler / Shandy,🇸🇬 ,"Tiger Radler is a delicious thirst quencher with a citrusy bite of natural lemon juice, a taste that goes with barbeques, afternoon drinks and street food with great friends. A first in Singapore and Asia, Tiger Radler offers double refreshment for maximum enjoyment in a tropical climate."
88,테라,Terra,Pale Lager - International / Premium,🇰🇷 ,Australian Golden Triangle Malt Premium Quality TERRA From AGT. 100% Real carbonated beer made from pure AGT Malt.
89,칭따오,Tsingtao,Pale Lager - International / Premium,🇨🇳 ,"Tsingtao Beer has a pleasant aroma and a well-balanced taste. It has high-malty flavor and well-hopped character.
Tsingtao is produced with spring water from Laoshan, a mountain area famous throughout China for the purity of its water. The domestically-grown hops used to brew Tsingtao are of such high quality that they are also exported to European breweries. Tsingtao also uses the finest yeast and barley imported from Australia and Canada in its brewing process.



NOTE: Under this entry, rate ONLY exported Tsingtao that roughly matches the ABV and local Tsingtao that matches it completely. If it differs in any way and doesn’t match the other entries under the brewer, please send in a bug report with the alcohol percentage, degrees plato (important!), the GTIN and preferably a link to a picture of both the front and the back label so that we can set up an entry."
90,칭따오 위트,Tsingtao Wheat Beer,Weissbier - Hefeweizen,🇨🇳 ,"The Tsingtao Wheat Beer
Brewed with 100% malt, smooth and light in flavour with an elegant floral finish. Brewed and bottled by Tsingtao Brewery CO., LTD. Qingdao, China"
